# Index    Value
# ----------------
    1      9.983342
    2     19.866933
    3     29.552021
    4     38.941834
    5     47.942554
    6     56.464247
    7     64.421769
    8     71.735609
    9     78.332691
   10     84.147098
   11     89.120736
   12     93.203909
   13     96.355819
   14     98.544973
   15     99.749499
   16     99.957360
   17     99.166481
   18     97.384763
   19     94.630009
   20     90.929743
   21     86.320937
   22     80.849640
   23     74.570521
   24     67.546318
   25     59.847214
   26     51.550137
   27     42.737988
   28     33.498815
   29     23.924933
   30     14.112001
   31      4.158066
   32     -5.837414
   33    -15.774569
   34    -25.554110
   35    -35.078323
   36    -44.252044
   37    -52.983614
   38    -61.185789
   39    -68.776616
   40    -75.680250
   41    -81.827711
   42    -87.157577
   43    -91.616594
   44    -95.160207
   45    -97.753012
   46    -99.369100
   47    -99.992326
   48    -99.616461
   49    -98.245261
   50    -95.892427
   51    -92.581468
   52    -88.345466
   53    -83.226744
   54    -77.276449
   55    -70.554033
   56    -63.126664
   57    -55.068554
   58    -46.460218
   59    -37.387666
   60    -27.941550
   61    -18.216250
   62     -8.308940
   63      1.681390
   64     11.654920
   65     21.511999
   66     31.154136
   67     40.484992
   68     49.411335
   69     57.843976
   70     65.698660
   71     72.896904
   72     79.366786
   73     85.043662
   74     89.870810
   75     93.799998
   76     96.791967
   77     98.816823
   78     99.854335
   79     99.894134
   80     98.935825
   81     96.988981
   82     94.073056
   83     90.217183
   84     85.459891
   85     79.848711
   86     73.439710
   87     66.296923
   88     58.491719
   89     50.102086
   90     41.211849
   91     31.909836
   92     22.288991
   93     12.445442
   94      2.477543
   95     -7.515112
   96    -17.432678
   97    -27.176063
   98    -36.647913
   99    -45.753589
  100    -54.402111
# --- 新增資料 ---
  999   1234.567800
