# Index    Value
# ----------------
    1  0.000000
    2  9.983342
    3  19.866933
    4  29.552021
    5  38.941834
    6  47.942554
    7  56.464247
    8  64.421769
    9  71.735609
   10  78.332691
   11  84.147098
   12  89.120736
   13  93.203909
   14  96.355819
   15  98.544973
   16  99.749499
   17  99.957360
   18  99.166481
   19  97.384763
   20  94.630009
   21  90.929743
   22  86.320937
   23  80.849640
   24  74.570521
   25  67.546318
   26  59.847214
   27  51.550137
   28  42.737988
   29  33.498815
   30  23.924933
   31  14.112001
   32  4.158066
   33  -5.837414
   34  -15.774569
   35  -25.554110
   36  -35.078323
   37  -44.252044
   38  -52.983614
   39  -61.185789
   40  -68.776616
   41  -75.680250
   42  -81.827711
   43  -87.157577
   44  -91.616594
   45  -95.160207
   46  -97.753012
   47  -99.369100
   48  -99.992326
   49  -99.616461
   50  -98.245261
   51  -95.892427
   52  -92.581468
   53  -88.345466
   54  -83.226744
   55  -77.276449
   56  -70.554033
   57  -63.126664
   58  -55.068554
   59  -46.460218
   60  -37.387666
   61  -27.941550
   62  -18.216250
   63  -8.308940
   64  1.681390
   65  11.654920
   66  21.511999
   67  31.154136
   68  40.484992
   69  49.411335
   70  57.843976
   71  65.698660
   72  72.896904
   73  79.366786
   74  85.043662
   75  89.870810
   76  93.799998
   77  96.791967
   78  98.816823
   79  99.854335
   80  99.894134
   81  98.935825
   82  96.988981
   83  94.073056
   84  90.217183
   85  85.459891
   86  79.848711
   87  73.439710
   88  66.296923
   89  58.491719
   90  50.102086
   91  41.211849
   92  31.909836
   93  22.288991
   94  12.445442
   95  2.477543
   96  -7.515112
   97  -17.432678
   98  -27.176063
   99  -36.647913
  100  -45.753589
# --- 新增資料 ---
  999  1234.5678
